startup_name,article_summary,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Future Holdings AG,"2025 Future Holdings AG, Switzerland’s premier Bitcoin treasury company, has closed a CHF 28 million strategic funding round anchored by cornerstone investors Fulgur Ventures, Nakamoto, and TOBAM.",2025-11-05,2025,28M CHF,,Grant,"Peter Thiel, Coinbase",,,,,,Switzerland,FinTech,,Unknown,"Data Analytics, FinTech",Manufacturing
AI sign language translator,"2025 Nagish, a leading accessibility tech company based in New York has acquired Switzerland’s early-stage startup sign.",2025-11-05,2025,16M USD,,,,Zurich,ZH,2021.0,30.0,,Switzerland,FinTech,,Unknown,FinTech,
NLS Pharmaceutics AG,"2025 The discussion on the merger of NLS Pharmaceutics and Kadimastem have been concluded, with the companies forming a new combination company called Newcelx.",2025-11-04,2025,,,Undisclosed,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"IoT, BioTech",
DeepJudge AG,"2025 With revenues growing over 500% year-over-year, DeepJudge continues to establish itself as the go-to AI platform for legal professionals worldwide.",2025-11-04,2025,41.2M USD,Series A,Series A,,,,,,,Switzerland,AI/ML,"Business Intelligence, Foundation Models",B2B-Services,"AI, GenAI",
Chainstaff AG,2025 Swiss HR-tech startup chainstaff has secured a strategic investment from the Tezos Foundation to automate and scale referral-based recruiting using blockchain technology.,2025-11-04,2025,0.01M CHF,strategic investment,Strategic Investment,,Bern,BE,2023.0,,,Switzerland,FinTech,"Payments, Crypto & Blockchain",B2B-Services,"Blockchain, FinTech",
Obligate achieves profitability and,"2025 A leader in on-chain capital markets, Obligate has completed a US$ 3 million capital increase, led by Exponential Science Capital alongside a public crowdfunding campaign.",2025-11-03,2025,3M USD,,Undisclosed,Exponential Science Capital,,,2019.0,,,Switzerland,FinTech,Crypto & Blockchain,Marketplace,"Blockchain, FinTech",
,"2025 Zurich-based robotics startup mimic has closed an oversubscribed $16 million funding round led by Elaia, alongside Speedinvest.",2025-11-03,2025,16M USD,seed,Seed,Switzerland,Zurich,ZH,2024.0,25.0,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,Robotics,"Manufacturing, EdTech"
CUE Labs AG,"2025 Zug-based CUE Labs has emerged out of stealth, introducing the widely adopted CUE open-source configuration language.",2025-10-31,2025,10M USD,,Undisclosed,"Sequoia Capital, OSS Capital, OSS Capital as lead investors, as well as Founders Fund, Dell Technologies Capital",Zug,ZG,,,,Switzerland,Robotics,,B2B-Hardware,IoT,
Art Recognition AG,"2025 Art Recognition, a Zurich-based pioneer in AI art authentication, has secured a strategic investment of USD 1 million from Alpha Star, a leading Luxembourg-based investment fund focused on innovative companies in the art market.",2025-10-31,2025,1M USD,strategic investment,Strategic Investment,,Zurich,ZH,2019.0,,,Switzerland,FinTech,,B2B-Hardware,AI,"BioTech, EdTech"
ETH-Spin-off,ETH-Spin-off secured funding for its business.,2025-10-30,2025,,pre-seed,Pre-Seed,,,,,,,Switzerland,Robotics,Drones,B2B-Hardware,Robotics,
Qala AG,"2025 Qala AG, a Zurich-based startup redefining how enterprises achieve real-time data visibility and governance at source, has secured $2M in its pre-seed funding led by QBIT Capital and Haatch.",2025-10-29,2025,2M USD,pre-seed,Pre-Seed,QBIT Capital,Zurich,ZH,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,,"FinTech, Cybersecurity"
Nexthink SA,"2025 The transaction reinforces Nexthink’s standing as one of the most successful and innovative enterprise software companies in the world, serving more than 1,500 enterprise customers and 25 million employees globally.",2025-10-28,2025,,strategic investment,Strategic Investment,Vista Equity Partners,,,,,,Switzerland,FinTech,,B2B-SaaS,AI,
ONWARD Medical SA,"2025 ONWARD Medical, the leading neurotechnology company pioneering therapies to restore movement, function, and independence in people with spinal cord injuries, has raised EUR 50,850,000 million in gross proceeds in a private placement.",2025-10-27,2025,,,Award,,,,,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech",HealthTech
,"2025 FalconX is one of the largest and leading digital asset prime brokerage firms, providing deep liquidity, advanced technology solutions, and 24/7 access to global crypto markets.",2025-10-27,2025,,,Grant,,,,2018.0,,,Switzerland,FinTech,"Lending, Crypto & Blockchain",B2C,Blockchain,
BOXS AG UpBoards GmbH,"2025 Das 2016 gegründete Aargauer Cleantech-Unternehmen BOXS AG übernimmt die Recoplast AG, die sich auf die Wiederverwertung Ihrer Kunststoffrestmengen fokussiert.",2025-10-27,2025,,,,,,,2016.0,,,Switzerland,CleanTech,Circular Economy,Deep Tech / IP,ClimateTech,ClimateTech
QUMEA AG,"2025 GRO, a leading Northern European private equity firm focused on B2B software, announced a strategic investment in QUMEA, the market leader for digital mobility monitoring in patient rooms.",2025-10-24,2025,,strategic investment,Strategic Investment,,,,2019.0,,,Switzerland,HealthTech,Patient Monitoring,B2B-SaaS,"AI, HealthTech",
Kontera GmbH,"2025 bexio, die führende Business-Software für Schweizer KMU und Treuhand-Software für die digitale Zusammenarbeit, wird die Kontera GmbH integrieren, deren KI-Agent eine vollautomatische Verarbeitung von Belegen ermöglicht.",2025-10-24,2025,,,,,,,2021.0,,,Switzerland,FinTech,,Unknown,FinTech,
Red Drop Lab Sàrl,"2025 These three new projects from ECAL and H4 have each been awarded a FIT Impact grant of 10,000 Swiss francs.",2025-10-24,2025,,,Award,,,,2026.0,,,Switzerland,FoodTech,,B2B-Hardware,,
Exnaton AG,"2025 exnaton, a Swiss software company developing an AI-driven intelligence platform for utilities, has raised a Series A round from a global VC consortium.",2025-10-23,2025,,Series A,Series A,,,,,,,Switzerland,CleanTech,Carbon & Offsetting,B2B-SaaS,"SaaS, Blockchain, Data Analytics",Manufacturing
,2025 Zwei Startups haben kürzlich ihre Crowdinvesting-Kampagnen auf Oomnium erfolgreich abgeschlossen.,2025-10-22,2025,1.8M CHF,,Undisclosed,,,,2025.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"BioTech, FoodTech"
Peoplegeist by FreshMarket GmbH,"2025 MaintMaster, a leading Swedish provider of maintenance management and OEE (Overall Equipment Effectiveness) software, just announced the acquisition of Peoplegeist by FreshMarket GmbH, a leader in AI-driven text analysis for manufacturing.",2025-10-22,2025,,,Award,,Lausanne,VD,,,,Switzerland,FinTech,,Unknown,IoT,"BioTech, Manufacturing"
Suisselle SA,"2025 Sihuan Pharmaceutical made an equity investment in Swiss medical aesthetic company Suisselle SA in September 2025, and the parties have formally entered into an investment and subscription agreement.",2025-10-22,2025,,,Undisclosed,,,,2010.0,,,Switzerland,BioTech,Drug Discovery,B2B-Hardware,BioTech,HealthTech
Chipmind AG,"2025 Zurich-based Chipmind is coming out of stealth with AI agents that accelerate chip development cycles, saving engineers in semiconductor companies 40% of their time by autonomously handling repetitive low-level tasks.",2025-10-21,2025,2.4M USD,pre-seed,Pre-Seed,,Zurich,ZH,,,,Switzerland,FinTech,,Unknown,FinTech,
Anevo AG,2025 ETH Zurich Spin-off Anevo has closed a pre-seed funding round to support the development of its automation platform for the real estate industry.,2025-10-20,2025,,pre-seed,Pre-Seed,,,,,,,Switzerland,PropTech,,Unknown,"GenAI, PropTech",BioTech
,2025 Subsquid is a leading decentralized data-infrastructure platform offering a decentralized data lake and query engine that makes blockchain data instantly searchable and usable for AI systems.,2025-10-17,2025,,,,,,,2021.0,,,Switzerland,FinTech,"Payments, Crypto & Blockchain",B2C,"Blockchain, Data Analytics, FinTech",
General Intuition,"2025 General Intuition, a start-up with teams in Geneva and New York, closed a USD 133.",2025-10-17,2025,134M USD,seed round,Seed,,,,,,,Switzerland,Other,,Unknown,,BioTech
,2025 Das Badner Startup Cubra präsentierte in der neunten Folge von «Die Höhle der Löwen» seine KI-gestützte Headhunting-Plattform «Plenio» und erhielt ein gemeinsames Angebot von zwei Investoren.,2025-10-16,2025,0.35M CHF,,Award,,,,,,,Switzerland,FinTech,,B2B-Services,FinTech,BioTech
Ikerian AG,"2025 EssilorLuxottica announces the acquisition of Ikerian AG, the Swiss health technology company founded in 2017 and operating under the RetinAI brand, specializing in AI and data management in eyecare.",2025-10-16,2025,,,Award,,,,2017.0,,,Switzerland,BioTech,"Drug Discovery, Diagnostics",B2B-Hardware,"AI, BioTech","HealthTech, EdTech"
,2025 KPIT Technologies Limited has increased its stake in Swiss startup N-Dream to 88.,2025-10-15,2025,16.4M EUR,strategic investment,Strategic Investment,,,,1990.0,20.0,,Switzerland,FinTech,,B2B-Hardware,FinTech,
Neology Hydrogen SA,2025 Neology has just announced the first closing of its CHF 2.,2025-10-14,2025,2.5M CHF,,Award,CHF 1,,,2025.0,,,Switzerland,CleanTech,Hydrogen,Deep Tech / IP,ClimateTech,"BioTech, ClimateTech, AgTech"
ADC Therapeutics SA,"2025 ADC Therapeutics, a specialist in antibody drug conjugates, and Idorsia, the company commercializing a new insomnia therapy, have raised fresh funds through a private placement.",2025-10-14,2025,60M USD,,Undisclosed,,,,,,,Switzerland,BioTech,"Drug Discovery, Antibody Therapeutics",Deep Tech / IP,BioTech,"HealthTech, FoodTech"
SQ Innovation AG,,2025-10-13,2025,350M EUR,Series B,Series B,,,,2019.0,,,Switzerland,BioTech,Drug Discovery,B2B-Hardware,BioTech,"HealthTech, Manufacturing, FoodTech"
Ecorobotix SA,2025 Ecorobotix is the global leader in AI-powered Ultra-High Precision (UHP) spraying.,2025-10-13,2025,150M USD,Series C,Series C,,,,,,,Switzerland,FinTech,,B2B-Hardware,"AI, Robotics",
YARU AG,2025 Das im März 2024 gegründete Startup YARU hat insgesamt bereits über eine Million Franken an Investments eingesammelt.,2025-10-10,2025,0.36M CHF,Pre-Seed,Pre-Seed,,,,2024.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,BioTech
Crowdtransfer AG,2025 Das SportTech-Startup Crowdsports überzeugte in der achten Folge der «Höhle der Löwen» gleich zwei Investoren mit seiner Investmentplattform für Sportbegeisterte.,2025-10-10,2025,0.50M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Energy Vault SA,"2025 Energy Vault Holdings, a leader in grid-scale energy storage solutions, closed a $300 million preferred equity investment with North American infrastructure investment firm OIC L.",2025-10-09,2025,300M USD,,Undisclosed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,,BioTech
DemoSquare SA Windworks SA,"DemoSquare: tracking and analysing politics and regulation using AI Regulatory monitoring is risky, time-consuming and costly.",2025-10-08,2025,0.20M CHF,Seed,Seed,,,,,,,Switzerland,BioTech,Drug Discovery,B2B-Hardware,AI,
BigOmics Analytics SA,"2025 BigOmics Analytics, a Swiss bioinformatics company empowering scientists to analyze omics data with its intelligent tools, announced the first tranche of next funding round, raising $1.",2025-10-08,2025,1.6M USD,,Undisclosed,,,,,,,Switzerland,BioTech,Oncology,Deep Tech / IP,"IoT, Data Analytics, BioTech",
MindMaze Therapeutics Holding SA,"2025 SIX-listed biotech company Relief Therapeutics and NeuroX Group SA, have entered into a definitive agreement to combine their businesses.",2025-10-08,2025,350M USD,,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech",HealthTech
,"2025 Badger - l’app de fidélité et marketing mutualisée pour commerces de quartier, a récemment annoncé une levée pre-seed menée par Apolo, le startup studio de QoQa, aux côtés de business angels.",2025-10-07,2025,,pre-seed,Pre-Seed,,,,2024.0,,,Switzerland,FinTech,,Unknown,FinTech,
AKSELOS SA,"2025 Akselos, the global leader in Structural Performance Management, has obtained a follow-on investment from GRO Capital, a leading software-focused private equity firm.",2025-10-07,2025,,,Undisclosed,"GRO Capital, a leading software",,,2023.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,Logistics,Manufacturing
,2025 Das Graubündner Startup altatek hat gemeinsam mit der Fachhochschule OST den Prototyp des autonomen Elektro-Mähers „amea“ entwickelt.,2025-10-06,2025,0M CHF,,Award,,,,2026.0,,,Switzerland,FinTech,,B2B-Hardware,Robotics,
Zoundream AG,"2025 Zoundream, the startup specializing in AI-driven solutions for infant voice analysis, has secured €4M seed funding to advance its mission of revolutionizing infant health.",2025-10-03,2025,,seed round,Seed,,,,,,,Switzerland,HealthTech,,B2C,AI,
Yumame lanciert B2C-Produkte und,"2025 Auf der Basis von Vollkornprodukten, Hülsenfrüchten, Gemüse und Pilzen produziert Yumame Foods mittels Fermentation eine vegane, wenig verarbeitete Alternative zu Fleisch und Fleischersatzprodukten.",2025-10-03,2025,,,Award,,,,,,,Switzerland,Other,,B2B-Services,,"BioTech, FoodTech"
HemostOD SA,3M to take HemostOD closer to industrial readiness 03.,2025-10-03,2025,4.3M CHF,Seed,Seed,Polytech Ventures,,,2021.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,"HealthTech, Manufacturing"
Teylor AG,"2025 Teylor, one of Europe’s leading technology-driven SME financing platforms, has secured €150 million in new financing from Fasanara Capital, a leading fintech-focused structured credit asset manager.",2025-10-02,2025,,,,,,,,,,Switzerland,FinTech,Lending,B2B-Services,FinTech,
Axon Technologies AG,"2025 Axon Technologies AG, formerly known as Genève Technologies, has been acquired by Aquavit Pharmaceuticals AG, marking a strategic leap forward in artificial intelligence and advanced life-science innovation.",2025-10-02,2025,,,,,,,2022.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"AI, Data Analytics, Logistics","BioTech, PropTech"
Spineart SA,"2025 Geneva-based Spineart, a global medtech innovator in advanced spine surgery solutions, just announced a CHF 25 million capital increase backed by its long-standing investors Gimv and EGS Beteiligungen (EGSB).",2025-10-01,2025,25M CHF,strategic investment,Strategic Investment,,Geneva,GE,2025.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,Robotics,"BioTech, HealthTech, Manufacturing"
,"SideLights: improving visibility and safety for cyclists with a unique lighting device In the European Union, over 2,000 cyclists die every year.",2025-10-01,2025,0M CHF,Seed,Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,,EdTech
ExcellGene SA,"ARCHIMED will work with Maria Wurm, who continues as group CEO, and the existing management team.",2025-10-01,2025,,,Undisclosed,,,,2001.0,,,Switzerland,BioTech,,Deep Tech / IP,BioTech,Manufacturing
FenX AG,"2025 FenX, a cleantech startup pioneering sustainable insulation materials for buildings, has closed its Series A funding round, raising CHF 8.",2025-10-01,2025,8.2M CHF,series A,Series A,,,,,,,Switzerland,CleanTech,Carbon & Offsetting,B2B-Hardware,ClimateTech,"ClimateTech, Manufacturing, PropTech"
,"2025 Gebäudeenergie-Optimierer viboo hat in einer Finanzierungsrunde frisches Kapital in der Höhe von 3,3 Millionen Euro aufgenommen.",2025-10-01,2025,3.3M EUR,,Award,,Zurich,ZH,,,,Switzerland,FinTech,,B2B-Hardware,IoT,PropTech
Energy Vault SA,"2025 Following the recent receipt of $300 for its subsidiary company Asset Vault, Energy Vault has obtained an additional $50 million from YA II PN, Ltd.",2025-09-30,2025,50M USD,,Undisclosed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,"BioTech, ClimateTech, Manufacturing"
,1 million to scale 3D printing among small enterprises 30.,2025-09-30,2025,2.1M CHF,seed,Seed,QBIT Capital,Zurich,ZH,2023.0,,,Switzerland,Other,,B2B-Hardware,,Manufacturing
Arqh AG,8M pre-seed to bring AI to the logistics industry 30.,2025-09-30,2025,3.8M USD,pre-seed,Pre-Seed,"Founderful, Merantix Capital",,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,
,2025 Duagon has established itself as a leading supplier of hardware and software solutions for safety-related applications primarily in the railway industry.,2025-09-29,2025,500M EUR,,,,,,1995.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,"BioTech, Manufacturing"
Haicker SA,"2025 Less than six months following its incorporation, Haicker has been acquired by Belgian cybersecurity company Aikido Security NV to help to transform weeks-long pen tests into sub-hour automated assessments.",2025-09-29,2025,,,,,,,2022.0,,,Switzerland,FinTech,,Unknown,FinTech,Cybersecurity
Multiwave Technologies AG,"2025 Geneva-based Multiwave Technologies AG attracts new capital for its portable MRI and shifts its global assembly plant to Lowell, Massachusetts, USA.",2025-09-29,2025,3.6M CHF,,Undisclosed,,Geneva,GE,2015.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,BioTech
Moveagain GmbH MOVU AG,2025 MoveAgain integriert den grössten Mitbewerber im Schweizer Online-Umzugsmarkt MOVU und verstärkt damit seine Position als Marktführer in diesem Segment.,2025-09-26,2025,,,,,,,2015.0,,,Switzerland,Other,,Unknown,,
Corintis SA,2025 Corintis has closed a USD 24 million Series A funding round.,2025-09-26,2025,24M USD,Series A,Series A,"BlueYard Capital with participation from Founderful, Acequia Capital, Celsius Industries, XTX Ventures",,,,,,Switzerland,Other,,Unknown,,Manufacturing
,"2025 Wiederum zwei Startups sicherten sich in der Sendung, die am vergangenen Dienstag ausgestrahlt wurde, Deals für ihre Geschäftsideen.",2025-09-26,2025,0.15M CHF,,Undisclosed,,,,2020.0,,,Switzerland,FinTech,,B2C,FinTech,BioTech
Sartiq,"2025 Sartiq, a Swiss Vertical AI company formerly known as Shootify closed a CHF 2.",2025-09-25,2025,0.15M CHF,pre-seed,Pre-Seed,,,,,,,Switzerland,FinTech,,B2C,FinTech,BioTech
Investment Navigator AG,This strategic move will allow for the creation of new technology-driven compliance solutions for the finance sector.,2025-09-25,2025,,,,,Zurich,ZH,2014.0,17.0,,Switzerland,FinTech,"WealthTech, Banking Infrastructure, Crypto & Blockchain",B2C,FinTech,
Imofix.io,2025 Der Berner Immobilien-Softwareanbieter GARAIO REM beteiligt sich am Zuger PropTech-Startup imofix.,2025-09-25,2025,,,Undisclosed,,Bern,BE,2021.0,,,Switzerland,PropTech,,Unknown,PropTech,
,2025 Das SaaS-Startup deskbird konnte in einer Series-B-Finanzierungsrunde 23 Millionen US-Dollar sichern.,2025-09-24,2025,,,Undisclosed,Alstin Capital,,,,,,Switzerland,FinTech,,B2B-SaaS,SaaS,BioTech
,"2025 For biotech companies it is standard procedure to secure regulatory approvals, enter licensing agreements and secure funding to advance their clinical programs.",2025-09-24,2025,20M CHF,,Grant,,,,,,,Switzerland,BioTech,"Drug Discovery, Oncology, Antibody Therapeutics",Deep Tech / IP,"IoT, BioTech","HealthTech, FoodTech"
Auterion AG,"2025 Auterion, the leading provider of autonomous systems software for defense, has raised $130 million led by Bessemer Venture Partners.",2025-09-24,2025,130M USD,Series B,Series B,Bessemer Venture Partners,,,,,,Switzerland,Robotics,Drones,B2B-Hardware,Robotics,
Nullpunkt AG,"2025 Das Zürcher Cleantech-Startup Nullpunkt hat ein innovatives Eisspeicher-Wärmesystem entwickelt, das sich aufgrund seiner Vorzüge besonders für das nachhaltige Heizen von Ein- und Mehrfamilienhäusern eignet.",2025-09-23,2025,,,Undisclosed,,Zurich,ZH,2023.0,,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,ClimateTech
ANYbotics AG,"2025 Climate Investment (CI) announced a strategic investment in ANYbotics, a global leader in autonomous robotic inspection solutions.",2025-09-23,2025,20M USD,strategic investment,Strategic Investment,,,,2026.0,,,Switzerland,CleanTech,,B2B-Hardware,"AI, Robotics","ClimateTech, Manufacturing"
Twiliner AG,2025 Nachtbusse mit patentierten Business-Class-Sitzen und Bett auf Knopfdruck: Im Herbst 2025 nimmt Twiliner die ersten beiden Reise-Linien zwischen Zürich und Amsterdam sowie Zürich-Barcelona in Betrieb.,2025-09-22,2025,1.3M CHF,Seed,Seed,,Zurich,ZH,,,,Switzerland,FinTech,,Unknown,FinTech,
PADELTA AG,2025 Das Luzerner Startup Padelta hat jüngst seine 9.,2025-09-22,2025,,,Undisclosed,,Lucerne,LU,,,,Switzerland,Other,,Unknown,,BioTech
Veezoo AG,"2025 Veezoo, the mature Agentic Analytics platform, built to help employees across an organization turn questions into trusted insights and better decisions, closed a $6 million Series A funding round led by ACE Ventures.",2025-09-22,2025,6M USD,Series A,Series A,ACE Ventures,,,,,,Switzerland,Other,,B2B-Services,Data Analytics,Manufacturing
Adaptyv Biosystems Sàrl,"2025 Adaptyv Bio has launched its platform to the broader scientific community, enabling users to test and synthesize designed proteins rapidly.",2025-09-19,2025,8M USD,seed round,Seed,Ace Ventures,,,2025.0,,,Switzerland,Other,,Unknown,AI,"BioTech, Manufacturing"
Unbound Potential AG,2025 Unbound Potential has completed a pre-seed financing round of €14.,2025-09-19,2025,,pre-seed,Pre-Seed,SPRIN,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"ClimateTech, Manufacturing"
ShoeSize.Me AG,,2025-09-19,2025,,,,,,,2012.0,,,Switzerland,Enterprise SaaS,HR Tech,B2B-SaaS,SaaS,
Spearhead AG,"2025 Nach der Minderheitsbeteiligung 2021 an Spearhead, einem Pionier-Unternehmen für digitales Schadenmanagement, stockt das namhafte Prüf-, Inspektions- und Zertifizierungsunternehmen DEKRA nun seine Beteiligung auf 50,1 Prozent auf.",2025-09-19,2025,,,,,,,2015.0,,,Switzerland,FinTech,InsurTech,Unknown,FinTech,
Insolight SA,"2025 Insolight vient de décrocher un prêt rémunéré de 1M d'euros sur MiiMOSA, le site français de financement participatif dédié à l'agriculture et à l'alimentation.",2025-09-19,2025,,,Award,,,,,,,Switzerland,FinTech,,Unknown,FinTech,"Manufacturing, AgTech"
,2025 Zwei Startups hatten in der aktuellen Folge dasselbe «Luxus-Problem» und konnten aus mehreren Angeboten das passende für einen Deal auswählen.,2025-09-18,2025,0.12M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,B2B-SaaS,SaaS,BioTech
Teylor AG,2025 Das Zürcher Fintech Telyor realisiert die dritte Akquisition innerhalb von 18 Monaten und übernimmt die Mehrheit am Düsseldorfer Unternehmen CapeTec.,2025-09-18,2025,,Kapitalerhöhung,Undisclosed,,Zurich,ZH,2018.0,,,Switzerland,FinTech,Lending,B2B-SaaS,"SaaS, FinTech",BioTech
Bubble Go,"2025 In line with its M&A strategy, international IT and consulting firm Sword Group announces the acquisition of Bubble Go, a startup headquartered in Geneva with a nearshore platform in Lisbon.",2025-09-18,2025,6.1M CHF,,,,,,2023.0,70.0,,Switzerland,FinTech,Banking Infrastructure,Unknown,FinTech,BioTech
ORYL Photonics SA,2025 Lausanne-based ORYL Photonics just announced the successful closing of its Series A round.,2025-09-17,2025,4M CHF,Series A,Series A,,Lausanne,VD,2020.0,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"DeepTech, BioTech",
Lakera,", a pioneer and global leader of cyber security solutions, has entered into an agreement to acquire Zurich-based Lakera, one of the world’s leading AI-native security platforms for Agentic AI applications.",2025-09-16,2025,300M USD,series A,Series A,,Zurich,ZH,2023.0,11.0,,Switzerland,Robotics,,B2B-SaaS,GenAI,"BioTech, Cybersecurity"
TRI Dental Implants Int. AG,2025 Geistlich Pharma AG has acquired a minority stake in TRI Dental Implants Int.,2025-09-16,2025,,,Grant,,,,2010.0,800.0,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"BioTech, HealthTech, EdTech"
PeriVision SA,"2025 PeriVision, a spin-off from the University of Bern and the University Hospital Bern, announced today a CHF 2.",2025-09-12,2025,2.4M CHF,seed round,Seed,"ARYA VC with participation from a diverse group of new, existing investors, including DART Ventures",,,2025.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"HealthTech, EdTech"
,"2025 Founded this year, Bloom has already drawn tens of thousands of users to its no-code platform, which builds both frontend and backend in under two minutes.",2025-09-12,2025,,pre-seed round,Pre-Seed,"Moonfire with participation from Y Combinator, Pioneer Fund",,,,,,Switzerland,B2C Tech,Marketplace,Marketplace,,Manufacturing
Fintech  Liquid-Market-Solutions,"Founded in 2019, Liquid-Markets-Solutions (LMS) specializes in ultra-low-latency, high-capacity network connectivity, market access, and risk mitigation solutions for the financial sector and other industries.",2025-09-12,2025,,,Undisclosed,,,,2019.0,,,Switzerland,FinTech,,B2B-Hardware,"Data Analytics, FinTech",
,65 Millionen Franken für die internationale Expansion 11.,2025-09-11,2025,1.6M CHF,Seed,Seed,,Bern,BE,,,,Switzerland,FinTech,Banking Infrastructure,B2B-SaaS,SaaS,
Future Kitchens AG MaiQ AG,2025 Sowohl beim Essensliefer-Startup Future Kitchens als auch bei der von den noch minderjährigen Gründern präsentierten Geschäftsidee mit individualisierten Düften für Unternehmen kamen die Löwen auf den Geschmack.,2025-09-10,2025,0.20M CHF,Pre-Seed,Pre-Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,SaaS,
,2025 The Foundation for Innovation and Technology (FIT) has announced its support for two new innovations: Ai.,2025-09-10,2025,0M CHF,Seed,Seed,,,,,,,Switzerland,FinTech,,B2B-SaaS,"AI, DeepTech, SaaS",BioTech
CUTISS AG,2025 The second tranche of the Series C round brings total funds raised to more than CHF 125 million.,2025-09-10,2025,31M CHF,Series C,Series C,,,,2025.0,,,Switzerland,BioTech,,B2B-Hardware,BioTech,"HealthTech, Manufacturing"
SWISSto12 SA,This acquisition is set to strengthen the Swiss scale-up position on a growing market.,2025-09-09,2025,,,Award,,,,,,,Switzerland,PropTech,,B2B-Services,PropTech,
,"2025 cellvie, a pioneer in mitochondrial-based therapeutics, has secured fresh funding from both existing and new investors.",2025-09-09,2025,5M USD,,Grant,"Taiho Ventures, major contributions also coming from another existing investor, Kizoo Technology Capital, Beiersdorf Venture Capital",,,2018.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,"IoT, Logistics","BioTech, HealthTech"
FOOD FOUNDERS Studio AG,2 Millionen Franken und startet Food Tech Venture 09.,2025-09-09,2025,1.2M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,FoodTech
Centi AG,,2025-09-09,2025,,Seed,Seed,Canadian digital asset company NextGen Digital Platforms In,,,,,,Switzerland,FinTech,"Payments, Crypto & Blockchain",B2C,"Blockchain, FinTech",
,"2025 EPFL spin-off Inkocell Therapeutics, a Swiss biotech startup developing next-generation cell therapies, has secured CHF 150,000 from Venture Kick.",2025-09-08,2025,0.15M CHF,,Award,"Venture Kick, Inkocell will strengthen its business development, accelerate preparations for clinical testing, bringing its therapies closer to patients",,,,,,Switzerland,BioTech,Oncology,Deep Tech / IP,"IoT, BioTech","HealthTech, Manufacturing"
EarlySight SA,2025 EarlySight SA has extended its Seed financing round by additional CHF 3.,2025-09-08,2025,3.1M CHF,Seed,Seed,,,,,,,Switzerland,BioTech,"Drug Discovery, Diagnostics",B2B-Hardware,BioTech,HealthTech
Recoveris AG,Recoveris secured funding for its business.,2025-09-08,2025,1M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,"InsurTech, Crypto & Blockchain",Deep Tech / IP,Blockchain,
Geneva Fintech Allasso,"2025 Allasso, the Geneva-based fintech that brings data-backed, modern analytics to one intuitive interface for financial market professionals, has secured $3m in investment in its latest funding round led by Fuel Ventures.",2025-09-05,2025,,,Undisclosed,"Fuel Ventures, Fuel Ventures will help Allasso scale commercially, expand into other asset classes",Geneva,GE,,,,Switzerland,FinTech,Crypto & Blockchain,Unknown,"Data Analytics, FinTech",BioTech
,"2025 With marketing approvals in 10 European Union countries and Switzerland, Swiss Cardio Technologies commercializes its cardiovascular solution, Cardioplexol in multiple regions.",2025-09-05,2025,1.5M EUR,,,,,,2008.0,500.0,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"IoT, BioTech",HealthTech
FrugalTec AG Plair SA,2025 Plair sammelt in einer Crowdinvesting-Kampagne über 350'000 Franken ein für den nächsten Wachstumsschritt mit seiner Lösung für Luftüberwachung in Pharmazeutischen Reinräumen.,2025-09-05,2025,0.35M CHF,,Award,,,,2020.0,,,Switzerland,FinTech,,B2B-Services,FinTech,AgTech
